ts_code,phase,n,brier_base,brier_model,mse_base,mse_model,accuracy_base,accuracy_model,brier_relative_gain,mse_relative_gain
000001.SH,D,939,0.24998610671629695,0.24997796967881922,6.767410558382732e-05,6.713920978981032e-05,0.503727369542066,0.503727369542066,3.254995881418754e-05,0.007903995027380595
000001.SH,V1,939,0.25050214296812723,0.2505673147625788,0.0001511403747165875,0.000144676203298523,0.43450479233226835,0.43450479233226835,-0.0002601646184714479,0.0427693224274841
000001.SH,V2,940,0.25014078245960336,0.2499677798192863,6.729876533269642e-05,6.57178793584548e-05,0.4829787234042553,0.4829787234042553,0.0006916210887962793,0.023490564298266126
000300.SH,D,939,0.2497615458858301,0.2497601375411588,8.968516795631587e-05,8.944213015627783e-05,0.5154419595314164,0.5154419595314164,5.638757024417629e-06,0.0027098995918301005
000300.SH,V1,939,0.25163628857654524,0.2516498601901563,0.00015445801416315286,0.00014981119658081564,0.4547390841320554,0.4547390841320554,-5.393345168069885e-05,0.03008466480365868
000300.SH,V2,940,0.2509284140081268,0.2509747615211146,8.229140577813164e-05,8.117024669967144e-05,0.4776595744680851,0.4776595744680851,-0.00018470412436544237,0.013624254779204814
000905.SH,D,939,0.24880205870110841,0.24771832275931194,0.00010148020914832542,0.0001010087213091013,0.5346112886048988,0.5346112886048988,0.004355815813800734,0.0046461063017222415
000905.SH,V1,939,0.24622187744195723,0.24685342859664575,0.00019859025972172276,0.00019193766978974666,0.5718849840255591,0.5718849840255591,-0.002564967667576079,0.03349907463386237
000905.SH,V2,940,0.24935691530926932,0.25265764310900274,0.00010210088595430177,9.966761612546484e-05,0.526595744680851,0.526595744680851,-0.013236961147195858,0.023832014836051685
