probe_scope,request_idx_type,ts_code,trade_date,close,open,high,low,change,pct_change,vol,amount,swing,turnover_rate,category
explicit_idx_type,行业板块,BK0486.DC,20250102,9480.92,9551.48,9742.86,9389.71,-64.26,-0.67,33098854.0,29674621043.0,3.7,2.28,行业板块
explicit_idx_type,行业板块,BK0538.DC,20250102,21505.01,21936.54,22145.55,21315.75,-415.08,-1.89,17020783.0,19467957969.0,3.79,2.01,行业板块
explicit_idx_type,行业板块,BK0539.DC,20250102,9633.68,9755.91,9909.63,9555.11,-131.9,-1.35,4522778.0,4459066430.0,3.63,2.31,行业板块
explicit_idx_type,行业板块,BK0545.DC,20250102,29139.29,29588.5,30053.86,28860.41,-499.62,-1.69,29852589.0,33909783552.0,4.03,3.46,行业板块
explicit_idx_type,行业板块,BK0546.DC,20250102,32702.65,33430.44,33719.79,32450.69,-757.79,-2.26,3336408.0,3054796513.0,3.79,1.65,行业板块
explicit_idx_type,行业板块,BK0725.DC,20250102,481.36,484.37,493.2,476.52,-5.79,-1.19,4937266.0,3132360487.0,3.42,2.76,行业板块
explicit_idx_type,行业板块,BK0726.DC,20250102,681.79,697.04,704.64,675.24,-15.94,-2.28,3178942.0,4278093544.0,4.21,2.2,行业板块
explicit_idx_type,行业板块,BK0727.DC,20250102,921.82,934.52,947.88,915.04,-12.17,-1.3,7165433.0,9676466944.0,3.52,1.86,行业板块
explicit_idx_type,行业板块,BK0728.DC,20250102,381.35,387.63,394.38,378.55,-6.92,-1.78,20782562.0,11698489782.0,4.08,2.25,行业板块
explicit_idx_type,行业板块,BK0729.DC,20250102,771.32,797.42,798.71,764.51,-28.79,-3.6,4047474.0,4583234622.0,4.27,2.61,行业板块
explicit_idx_type,行业板块,BK0730.DC,20250102,911.49,924.77,939.05,905.39,-11.86,-1.28,4424919.0,3478567720.0,3.65,1.7,行业板块
explicit_idx_type,行业板块,BK0731.DC,20250102,1273.38,1292.93,1308.49,1263.53,-19.62,-1.52,5798388.0,5768236919.0,3.48,0.93,行业板块
explicit_idx_type,行业板块,BK0732.DC,20250102,1027.55,1020.5,1045.88,1014.5,9.55,0.94,4826327.0,6366277892.0,3.08,2.13,行业板块
explicit_idx_type,行业板块,BK0733.DC,20250102,913.99,922.54,937.54,906.46,-10.64,-1.15,4080660.0,2275124588.0,3.36,1.94,行业板块
explicit_idx_type,行业板块,BK0734.DC,20250102,365.24,358.47,371.53,358.47,6.27,1.75,3514955.0,2896887538.0,3.64,2.93,行业板块
explicit_idx_type,行业板块,BK0735.DC,20250102,1140.22,1177.71,1182.05,1127.55,-41.06,-3.48,10948327.0,25270295471.0,4.61,2.24,行业板块
explicit_idx_type,行业板块,BK0736.DC,20250102,1050.36,1074.34,1085.62,1040.49,-22.31,-2.08,15365142.0,14913748325.0,4.21,1.17,行业板块
explicit_idx_type,行业板块,BK0737.DC,20250102,954.15,981.87,988.7,942.75,-31.66,-3.21,33378734.0,71781789262.0,4.66,4.77,行业板块
explicit_idx_type,行业板块,BK0738.DC,20250102,549.51,565.67,567.77,544.22,-19.3,-3.39,9485187.0,5551648558.0,4.14,1.25,行业板块
explicit_idx_type,行业板块,BK0739.DC,20250102,1546.07,1571.29,1587.37,1532.09,-31.61,-2.0,8185111.0,9765679922.0,3.5,1.77,行业板块
explicit_idx_type,行业板块,BK0740.DC,20250102,632.66,639.92,654.63,627.19,-3.97,-0.62,7049765.0,4497406510.0,4.31,5.07,行业板块
explicit_idx_type,行业板块,BK0910.DC,20250102,2246.21,2282.02,2320.2,2225.27,-42.98,-1.88,31773083.0,37428271735.0,4.15,3.18,行业板块
explicit_idx_type,行业板块,BK1015.DC,20250102,447.57,459.15,461.8,443.02,-12.12,-2.64,2813662.0,4724705834.0,4.09,3.37,行业板块
explicit_idx_type,行业板块,BK1016.DC,20250102,896.8,907.72,923.92,888.97,-12.15,-1.34,3111373.0,1449314286.0,3.85,3.78,行业板块
explicit_idx_type,行业板块,BK1017.DC,20250102,1046.01,1061.66,1074.96,1040.26,-18.17,-1.71,4799128.0,2692927548.0,3.26,1.09,行业板块
explicit_idx_type,行业板块,BK1018.DC,20250102,1264.13,1289.38,1298.92,1248.79,-24.81,-1.92,5353098.0,6177915655.0,3.89,6.96,行业板块
explicit_idx_type,行业板块,BK1019.DC,20250102,726.15,737.37,746.01,720.67,-12.9,-1.75,11200252.0,9590350360.0,3.43,1.45,行业板块
