ts_code,year,model,n,brier,log_loss,accuracy,auc,actual_up_rate,mean_probability,p_min,p_max
000001.SH,2021,frequency,76,0.2507073336351291,0.6945638528965843,0.5,0.5,0.5,0.5265957446808511,0.526595744680851,0.526595744680851
000001.SH,2022,frequency,242,0.25158653180639684,0.6963239104238975,0.4834710743801653,0.5,0.4834710743801653,0.5265957446808509,0.526595744680851,0.526595744680851
000001.SH,2023,frequency,242,0.25158653180639684,0.6963239104238975,0.4834710743801653,0.5,0.4834710743801653,0.5265957446808509,0.526595744680851,0.526595744680851
000001.SH,2024,frequency,242,0.2500479350066782,0.6932438097510993,0.512396694214876,0.5,0.512396694214876,0.5265957446808509,0.526595744680851,0.526595744680851
000001.SH,2025,frequency,243,0.24665777580306533,0.6864570858700605,0.5761316872427984,0.5,0.5761316872427984,0.5265957446808508,0.526595744680851,0.526595744680851
000001.SH,2026,frequency,164,0.24778828848723078,0.6887202472647426,0.5548780487804879,0.5,0.5548780487804879,0.526595744680851,0.526595744680851,0.526595744680851
000001.SH,2021,price,76,0.25028647865536335,0.693718854646178,0.5,0.5311634349030471,0.5,0.5269809519655979,0.5081383858915834,0.5519623620583402
000001.SH,2022,price,242,0.252092795168361,0.6973362241150544,0.4793388429752066,0.4590769230769231,0.4834710743801653,0.5228811276319068,0.4848157470178905,0.5567949929227854
000001.SH,2023,price,242,0.25237730186075297,0.6979090189696104,0.4793388429752066,0.43357264957264957,0.4834710743801653,0.5230626404921436,0.49922650247471045,0.5465410763127826
000001.SH,2024,price,242,0.24996898578897908,0.6930683021317352,0.5041322314049587,0.4992482230727173,0.512396694214876,0.5287337166159591,0.4971826195836898,0.6205680536694504
000001.SH,2025,price,243,0.24703036940929776,0.6872037910712997,0.5679012345679012,0.47815533980582525,0.5761316872427984,0.5274938428445166,0.49123012983807524,0.5525883242553967
000001.SH,2026,price,164,0.24797232029031868,0.6890886768424457,0.5670731707317073,0.49902152641878667,0.5548780487804879,0.5256545031309172,0.4934097125577359,0.548961260097006
