ts_code,model,bin_left,bin_right,n,mean_probability,actual_up_rate
000905.SH,price_amount,0.0,0.1,0,,
000905.SH,price_amount,0.1,0.2,0,,
000905.SH,price_amount,0.2,0.3,0,,
000905.SH,price_amount,0.3,0.4,0,,
000905.SH,price_amount,0.4,0.5,132,0.488032887227645,0.5227272727272727
000905.SH,price_amount,0.5,0.6,1006,0.5401175650969529,0.49304174950298213
000905.SH,price_amount,0.6,0.7,66,0.6268246924653971,0.696969696969697
000905.SH,price_amount,0.7,0.8,4,0.7358247552787182,0.5
000905.SH,price_amount,0.8,0.9,1,0.8003822783497814,0.0
000905.SH,price_amount,0.9,1.0,0,,
000905.SH,price_amount_volume,0.0,0.1,0,,
000905.SH,price_amount_volume,0.1,0.2,0,,
000905.SH,price_amount_volume,0.2,0.3,0,,
000905.SH,price_amount_volume,0.3,0.4,0,,
000905.SH,price_amount_volume,0.4,0.5,137,0.4878239820876348,0.5328467153284672
000905.SH,price_amount_volume,0.5,0.6,998,0.5395764387626866,0.49298597194388777
000905.SH,price_amount_volume,0.6,0.7,67,0.6250737601319415,0.6567164179104478
000905.SH,price_amount_volume,0.7,0.8,6,0.7272211877195994,0.6666666666666666
000905.SH,price_amount_volume,0.8,0.9,1,0.8028742123808367,0.0
000905.SH,price_amount_volume,0.9,1.0,0,,
