schema_name,table_name,relation_type,estimated_rows,table_bytes,table_size,index_bytes,index_size,toast_bytes,toast_size,total_bytes,total_size
ops,dataset_date_completeness_exclusion,table,,8192,8192 bytes,49152,48 kB,8192,8192 bytes,65536,64 kB
ops,dataset_pipeline_mode,table,57,8192,8192 bytes,49152,48 kB,8192,8192 bytes,65536,64 kB
app,auth_permission,table,,8192,8192 bytes,49152,48 kB,0,0 bytes,57344,56 kB
app,auth_role,table,,8192,8192 bytes,49152,48 kB,0,0 bytes,57344,56 kB
core_serving_light,equity_daily_bar_light_p1990,table,,8192,8192 bytes,49152,48 kB,0,0 bytes,57344,56 kB
public,alembic_version,table,1,8192,8192 bytes,16384,16 kB,32768,32 kB,57344,56 kB
app,auth_action_token,table,,0,0 bytes,40960,40 kB,8192,8192 bytes,49152,48 kB
foundation,dataset_source_status,table,55,8192,8192 bytes,32768,32 kB,0,0 bytes,40960,40 kB
ops,probe_rule,table,,0,0 bytes,32768,32 kB,8192,8192 bytes,40960,40 kB
foundation,dataset_resolution_policy,table,54,8192,8192 bytes,16384,16 kB,8192,8192 bytes,32768,32 kB
ops,dataset_date_completeness_schedule,table,,0,0 bytes,24576,24 kB,8192,8192 bytes,32768,32 kB
ops,probe_run_log,table,,0,0 bytes,24576,24 kB,8192,8192 bytes,32768,32 kB
ops,resolution_release_stage_status,table,,0,0 bytes,24576,24 kB,8192,8192 bytes,32768,32 kB
core_serving_light,equity_daily_bar_light_p2027,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
core_serving_light,equity_daily_bar_light_p2028,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
core_serving_light,equity_daily_bar_light_p2029,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
core_serving_light,equity_daily_bar_light_p2030,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
core_serving_light,equity_daily_bar_light_p2031,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
core_serving_light,equity_daily_bar_light_p2032,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
core_serving_light,equity_daily_bar_light_p2033,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
core_serving_light,equity_daily_bar_light_p2034,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
core_serving_light,equity_daily_bar_light_p2035,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
core_serving_light,equity_daily_bar_light_pmax,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
foundation,source_registry,table,,0,0 bytes,16384,16 kB,8192,8192 bytes,24576,24 kB
ops,resolution_release,table,,0,0 bytes,24576,24 kB,0,0 bytes,24576,24 kB
backup_index_period_20260505,backup_counts,table,,8192,8192 bytes,0,0 bytes,8192,8192 bytes,16384,16 kB
raw_tushare,stk_mins_2010_01,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2010_02,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2010_03,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2010_04,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2010_05,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2010_06,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2010_07,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2010_08,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2010_09,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
raw_tushare,stk_mins_2010_10,table,,0,0 bytes,8192,8192 bytes,0,0 bytes,8192,8192 bytes
