rank,ts_code,csname,extname,cname,exchange,list_status,etf_type,index_code,index_name,trading_days_present,trade_dates,vol_5d,amount_5d,latest_trade_date,latest_close,latest_vol,latest_amount,vol_20260603,vol_20260602,vol_20260601,vol_20260529,vol_20260528
22,512170.SH,华宝中证医疗ETF,医疗ETF华宝,华宝中证医疗交易型开放式指数证券投资基金,SH,L,纯境内,399989.SZ,中证医疗指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",99499205.5600,3093422.5450,2026-06-03,0.3050,18058592.0100,552166.7980,18058592.0100,28379752.7900,16823600.0000,18307545.4600,17929715.3000
23,159567.SZ,港股创新药ETF,港股创新药ETF银华,银华国证港股通创新药交易型开放式指数证券投资基金,SZ,L,纯境内,987018.SZ,国证港股通创新药指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",95682097.4100,6218435.0360,2026-06-03,0.6190,13290548.0000,829467.3951,13290548.0000,21954344.0000,20083823.8000,26900506.9200,13452874.6900
24,588200.SH,嘉实上证科创板芯片ETF,科创芯片ETF嘉实,嘉实上证科创板芯片交易型开放式指数证券投资基金,SH,L,纯境内,000685.SH,上证科创板芯片指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",91802436.7300,32822809.4420,2026-06-03,3.5710,18954841.7200,6799862.0220,18954841.7200,18210437.7200,18702933.0000,19600516.5300,16333707.7600
25,512010.SH,易方达沪深300医药ETF,医药ETF易方达,易方达沪深300医药卫生交易型开放式指数证券投资基金,SH,L,纯境内,000913.SH,沪深300医药卫生指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",90718501.2300,3058720.6560,2026-06-03,0.3300,20239445.0000,669427.1670,20239445.0000,17376613.0000,18137042.0000,21753413.5100,13211987.7200
26,512050.SH,华夏中证A500ETF,A500ETF华夏,华夏中证A500交易型开放式指数证券投资基金,SH,L,纯境内,000510.SH,中证A500指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",87024266.2000,11221237.2410,2026-06-03,1.2980,17829681.1700,2321891.8750,17829681.1700,17787503.7700,17382836.3900,17647795.0000,16376449.8700
27,159361.SZ,易方达中证A500ETF,A500ETF易方达,易方达中证A500交易型开放式指数证券投资基金,SZ,L,纯境内,000510.SH,中证A500指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",84653189.6600,11190369.6207,2026-06-03,1.3290,15111225.0600,2014033.6019,15111225.0600,15501103.0200,12908788.1300,29068299.6900,12063773.7600
28,159941.SZ,广发纳指100ETF,纳指ETF广发,广发纳斯达克100交易型开放式指数证券投资基金,SZ,L,QDII,NDX.NASDAQ,纳斯达克100指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",82185119.6800,14064184.9127,2026-06-03,1.7070,14680710.7200,2516223.5473,14680710.7200,18721553.9000,22584936.7200,13573214.2600,12624704.0800
29,159949.SZ,华安创业板50ETF,创业板50ETF华安,华安创业板50交易型开放式指数证券投资基金,SZ,L,纯境内,399673.SZ,创业板50指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",77474410.5300,15324814.9278,2026-06-03,2.0170,14519447.7700,2943104.5366,14519447.7700,13724897.9500,14194215.9300,18883656.6700,16152192.2100
30,159636.SZ,港股通科技30ETF工银,港股通科技30ETF工银,工银瑞信国证港股通科技交易型开放式指数证券投资基金,SZ,L,纯境内,987008.SZ,国证港股通科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",77327093.6500,4197347.2694,2026-06-03,0.5470,10613187.5800,582567.9817,10613187.5800,22239401.0000,16417035.0000,12900238.0000,15157232.0700
31,159967.SZ,华夏创成长ETF,创业板成长ETF华夏,华夏创业板动量成长交易型开放式指数证券投资基金,SZ,L,纯境内,399296.SZ,创业板动量成长指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",76379407.7400,7115572.0198,2026-06-03,0.9690,12440198.9300,1209148.5312,12440198.9300,15369597.4000,20880296.9700,15451345.8200,12237968.6200
32,159915.SZ,易方达创业板ETF,创业板ETF易方达,易方达创业板交易型开放式指数证券投资基金,SZ,L,纯境内,399006.SZ,创业板指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",74720344.8800,30453955.9497,2026-06-03,4.1450,16490581.3400,6853479.7311,16490581.3400,14821750.1300,13224451.0400,16171880.5600,14011681.8100
33,513310.SH,华泰柏瑞中证韩交所中韩半导体ETF(QDII),中韩半导体ETF华泰柏瑞,华泰柏瑞中证韩交所中韩半导体交易型开放式指数证券投资基金(QDII),SH,L,QDII,931790.CSI,中证韩交所中韩半导体指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",71930926.8400,43101191.2890,2026-06-03,6.1360,7229631.7900,4427159.4470,7229631.7900,22612082.8900,22353064.9200,9400914.9700,10335232.2700
34,588080.SH,易方达上证科创板50ETF,科创50ETF易方达,易方达上证科创板50成份交易型开放式指数证券投资基金,SH,L,纯境内,000688.SH,上证科创板50成份指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",71587479.9400,12748830.0010,2026-06-03,1.7670,13613450.0300,2415827.0140,13613450.0300,13482601.9600,15023833.6900,17249056.8600,12218537.4000
35,513980.SH,景顺长城中证港股通科技ETF,港股科技ETF景顺,景顺长城中证港股通科技交易型开放式指数证券投资基金,SH,L,纯境内,931573.CSI,中证港股通科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",71227560.9100,4569459.1410,2026-06-03,0.6460,8040848.0400,521601.4940,8040848.0400,18400591.7200,18624020.0000,15474475.0000,10687626.1500
36,513350.SH,富国标普石油天然气勘探及生产精选行业ETF(QDII),标普油气ETF富国,富国标普石油天然气勘探及生产精选行业交易型开放式指数证券投资基金(QDII),SH,L,QDII,SPSIOP.OTH,标普石油与天然气的勘探与生产精选行业指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",63611773.0500,7928703.7410,2026-06-03,1.2820,17364892.9900,2191756.4860,17364892.9900,13559835.3900,5087844.8000,6095969.7300,21503230.1400
37,159611.SZ,广发中证全指电力ETF,电力ETF广发,广发中证全指电力公用事业交易型开放式指数证券投资基金,SZ,L,纯境内,H30199.CSI,中证全指电力公用事业指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",60569729.4200,7448939.9101,2026-06-03,1.2490,14165896.3300,1746859.1214,14165896.3300,12935308.0700,14603449.4000,11230077.9700,7634997.6500
38,159363.SZ,华宝创业板人工智能ETF,创业板人工智能ETF华宝,华宝创业板人工智能交易型开放式指数证券投资基金,SZ,L,纯境内,970070.SZ,创业板人工智能指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",58606745.5300,8398886.6921,2026-06-03,1.4850,14533843.1900,2174936.0713,14533843.1900,10231920.8200,8305909.4800,11944138.4300,13590933.6100
39,512100.SH,南方中证1000ETF,中证1000ETF南方,南方中证1000交易型开放式指数证券投资基金,SH,L,纯境内,000852.SH,中证1000指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",57808513.0700,19599585.0410,2026-06-03,3.3890,13132783.2600,4469758.8980,13132783.2600,12491282.9200,11707167.1100,13518916.6300,6958363.1500
40,160644.SZ,,,,,,,,,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",56599477.5200,13208732.4364,2026-06-03,2.3070,7359501.5400,1742058.2812,7359501.5400,11325193.1700,13011737.0100,9997072.1400,14905973.6600
41,520880.SH,华宝恒生港股通创新药精选ETF,港股通创新药ETF华宝,华宝恒生港股通创新药精选交易型开放式指数证券投资基金,SH,L,纯境内,HSSCPB.HI,恒生港股通创新药精选指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",56107908.0000,2375707.5750,2026-06-03,0.4050,13338836.0000,542974.1750,13338836.0000,10183387.0000,12493325.0000,13861686.0000,6230674.0000
42,515220.SH,国泰中证煤炭ETF,煤炭ETF国泰,国泰中证煤炭交易型开放式指数证券投资基金,SH,L,纯境内,399998.SZ,中证煤炭指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",55410614.0100,7375557.5980,2026-06-03,1.4000,14781749.9300,2016974.0970,14781749.9300,12464264.5900,13695451.5900,7004623.0000,7464524.9000
43,515050.SH,华夏中证5G通信主题ETF,通信ETF华夏,华夏中证5G通信主题交易型开放式指数证券投资基金,SH,L,纯境内,931079.CSI,中证5G通信主题指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",53298395.8300,6474800.4030,2026-06-03,1.2710,11669991.0100,1488703.5920,11669991.0100,10965099.8200,11261040.3700,9637124.6700,9765139.9600
44,159892.SZ,华夏恒生生物科技ETF(QDII),恒生医药ETF华夏,华夏恒生生物科技交易型开放式指数证券投资基金(QDII),SZ,L,QDII,HSBIO.HI,恒生生物科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",53153749.8300,3601709.6297,2026-06-03,0.6540,8335053.2000,548772.0575,8335053.2000,10475354.0000,12501094.3000,14393352.3300,7448896.0000
45,512800.SH,华宝中证银行ETF,银行ETF华宝,华宝中证银行交易型开放式指数证券投资基金,SH,L,纯境内,399986.SZ,中证银行指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",52936789.7500,4113087.4910,2026-06-03,0.7830,8585319.4500,671932.2680,8585319.4500,10920030.1700,10470034.6500,11672376.0000,11289029.4800
46,513060.SH,博时恒生医疗保健(QDII-ETF),恒生医疗ETF博时,博时恒生医疗保健交易型开放式指数证券投资基金(QDII),SH,L,QDII,HSHCI.HI,恒生医疗保健指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",52552730.2700,2667195.4800,2026-06-03,0.4920,9732059.1000,482969.8410,9732059.1000,10568504.0000,10639249.0000,14748651.1700,6864267.0000
47,512480.SH,国联安半导体ETF,半导体ETF国联安,国联安中证全指半导体产品与设备交易型开放式指数证券投资基金,SH,L,纯境内,H30184.CSI,中证全指半导体产品与设备指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",51150944.8900,11051344.6290,2026-06-03,2.1500,9635151.1900,2075032.5300,9635151.1900,9394949.7600,11178344.5800,11405394.0200,9537105.3400
48,588170.SH,华夏上证科创板半导体材料设备主题ETF,科创半导体ETF华夏,华夏上证科创板半导体材料设备主题交易型开放式指数证券投资基金,SH,L,纯境内,950125.CSI,上证科创板半导体材料设备主题指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",50051781.7000,12263978.0120,2026-06-03,2.4010,8918866.7000,2140637.6390,8918866.7000,8647290.6600,8669037.7100,11172251.7800,12644334.8500
49,562500.SH,华夏中证机器人ETF,机器人ETF华夏,华夏中证机器人交易型开放式指数证券投资基金,SH,L,纯境内,H30590.CSI,中证机器人指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",48018380.8900,5441261.1970,2026-06-03,1.1270,8484480.6000,962602.9480,8484480.6000,9738269.7200,8087282.9700,11052261.5300,10656086.0700
50,159870.SZ,化工ETF,化工ETF鹏华,鹏华中证细分化工产业主题交易型开放式指数证券投资基金,SZ,L,纯境内,000813.CSI,中证细分化工产业主题指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",46906086.4400,3887144.1767,2026-06-03,0.8300,7638429.7700,633934.4123,7638429.7700,8448124.7700,7442408.3200,13637711.3700,9739412.2100
51,159992.SZ,创新药,创新药ETF银华,银华中证创新药产业交易型开放式指数证券投资基金,SZ,L,纯境内,931152.CSI,中证创新药产业指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",46665281.0900,3516549.6100,2026-06-03,0.7330,7585005.0000,557563.7345,7585005.0000,7650154.0900,11450932.7000,10682022.1300,9297167.1700
52,159206.SZ,卫星ETF永赢,卫星ETF永赢,永赢国证商用卫星通信产业交易型开放式指数证券投资基金,SZ,L,纯境内,980018.SZ,国证商用卫星通信产业指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",45297902.4300,7519522.4480,2026-06-03,1.6380,8178082.3700,1338240.5653,8178082.3700,6269165.3200,6896099.6200,15852092.3800,8102462.7400
53,159217.SZ,港股通创新药ETF工银,港股通创新药ETF工银,工银瑞信国证港股通创新药交易型开放式指数证券投资基金,SZ,L,纯境内,987018.SZ,国证港股通创新药指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",45048960.0000,4942149.2942,2026-06-03,1.0400,4835074.0000,507542.7642,4835074.0000,6921364.0000,8999131.0000,18934247.0000,5359144.0000
54,159316.SZ,易方达恒生港股通创新药ETF,港股通创新药ETF易方达,易方达恒生港股通创新药交易型开放式指数证券投资基金,SZ,L,纯境内,HSSCID.HI,恒生港股通创新药指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",42497832.1900,4552326.2412,2026-06-03,1.0260,5804163.0000,598939.0183,5804163.0000,9592399.6200,8773972.9400,11540620.2200,6786676.4100
55,159262.SZ,广发恒生港股通科技主题ETF,港股通科技ETF广发,广发恒生港股通科技主题交易型开放式指数证券投资基金,SZ,L,纯境内,HSSCITI.HI,恒生港股通科技主题指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",42116665.1700,3949466.4587,2026-06-03,0.9550,6004196.1900,576289.6524,6004196.1900,11944425.3300,8200462.0300,8914199.6100,7053382.0100
56,159518.SZ,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),标普油气ETF嘉实,嘉实标普石油天然气勘探及生产精选行业交易型开放式指数证券投资基金(QDII),SZ,L,QDII,SPSIOP.OTH,标普石油与天然气的勘探与生产精选行业指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",41685558.2800,4724725.4998,2026-06-03,1.1650,8590047.0000,992736.8650,8590047.0000,9081861.0000,3507000.0000,4114856.6600,16391793.6200
57,159687.SZ,南方基金南方东英富时亚太精选ETF(QDII),亚太精选ETF南方,南方基金南方东英富时亚太精选交易型开放式指数证券投资基金(QDII),SZ,L,QDII,GPCSP006.OTH,富时亚太精选指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",40140858.5500,7900099.7218,2026-06-03,1.9890,7657533.4600,1532714.5816,7657533.4600,13340167.2600,9894405.2500,3031858.0000,6216894.5800
58,520500.SH,华泰柏瑞恒生创新药ETF(QDII),恒生创新药ETF华泰柏瑞,华泰柏瑞恒生创新药交易型开放式指数证券投资基金(QDII),SH,L,QDII,HSIDI.HI,恒生创新药指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",40129367.9400,5326195.4520,2026-06-03,1.2560,6084391.0000,769689.8260,6084391.0000,7076117.3500,9265795.6700,12537727.5100,5165336.4100
59,159852.SZ,嘉实中证软件服务ETF,软件ETF嘉实,嘉实中证软件服务交易型开放式指数证券投资基金,SZ,L,纯境内,930601.CSI,中证软件服务指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",39489380.0500,3035143.1447,2026-06-03,0.7590,7002697.0000,533863.4496,7002697.0000,8966555.0000,11672856.0000,6072565.3000,5774706.7500
60,511380.SH,博时可转债ETF,可转债ETF博时,博时中证可转债及可交换债券交易型开放式指数证券投资基金,SH,L,纯境内,931078.CSI,中证可转债及可交换债券指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",39088775.8800,54960503.5270,2026-06-03,14.0830,7107038.8300,10035233.7990,7107038.8300,6601950.3500,7297315.7600,9265145.6800,8817325.2600
61,512890.SH,华泰柏瑞中证红利低波动ETF,红利低波ETF华泰柏瑞,华泰柏瑞中证红利低波动交易型开放式指数证券投资基金,SH,L,纯境内,H30269.CSI,中证红利低波动指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",38074608.5600,4443066.2540,2026-06-03,1.1730,8019357.8500,938043.6590,8019357.8500,7373936.1800,8183643.2800,7962365.2500,6535306.0000
62,515120.SH,广发创新药ETF,创新药ETF广发,广发中证创新药产业交易型开放式指数证券投资基金,SH,L,纯境内,931152.CSI,中证创新药产业指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",37695820.5200,2125427.9930,2026-06-03,0.5480,6680339.3300,367481.2690,6680339.3300,6573805.1100,8498541.1000,8386816.0800,7556318.9000
