rank,ts_code,csname,extname,cname,exchange,list_status,etf_type,index_code,index_name,trading_days_present,trade_dates,vol_5d,amount_5d,latest_trade_date,latest_close,latest_vol,latest_amount,vol_20260603,vol_20260602,vol_20260601,vol_20260529,vol_20260528
78,159928.SZ,汇添富中证主要消费ETF,消费ETF,中证主要消费交易型开放式指数证券投资基金,SZ,L,纯境内,000932.SH,中证主要消费指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",29513550.5600,2001721.9821,2026-06-03,0.6700,6409244.0000,427991.4987,6409244.0000,4972392.0000,3833946.0000,8427272.0000,5870696.5600
79,159781.SZ,易方达中证科创创业50ETF,科创创业ETF易方达,易方达中证科创创业50交易型开放式指数证券投资基金,SZ,L,纯境内,931643.CSI,中证科创创业50指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",29371376.3700,3802665.1695,2026-06-03,1.3230,5901562.4400,783220.1903,5901562.4400,6296754.7500,6212092.6500,5627598.6200,5333367.9100
80,510210.SH,上证综指ETF,上证指数ETF富国,上证综指交易型开放式指数证券投资基金,SH,L,纯境内,000001.SH,上证综合指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",28441245.4400,2921188.3530,2026-06-03,1.0290,5362134.6300,551577.5980,5362134.6300,5015139.0000,6508779.9900,6748216.0000,4806975.8200
81,512400.SH,南方中证申万有色金属ETF,有色金属ETF南方,南方中证申万有色金属交易型开放式指数证券投资基金,SH,L,纯境内,000819.SH,中证申万有色金属指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",28022365.1300,5572890.0320,2026-06-03,2.0320,6251298.7200,1270392.9510,6251298.7200,6172113.3700,4392999.0400,5004277.3300,6201676.6700
82,588790.SH,博时科创板人工智能ETF,科创AIETF博时,博时上证科创板人工智能交易型开放式指数证券投资基金,SH,L,纯境内,950180.CSI,上证科创板人工智能指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",27405492.2100,2562359.6280,2026-06-03,0.9270,5175486.2100,482172.4860,5175486.2100,3712139.0000,5409803.0000,6553774.0000,6554290.0000
83,513100.SH,国泰纳斯达克100(QDII-ETF),纳指ETF国泰,纳斯达克100交易型开放式指数证券投资基金,SH,L,QDII,NDX.NASDAQ,纳斯达克100指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",27149416.1200,6251524.4100,2026-06-03,2.2990,5047053.1100,1165822.5450,5047053.1100,5894012.7500,7489384.0300,5010621.3600,3708344.8700
84,159851.SZ,华宝中证金融科技主题ETF,金融科技ETF华宝,华宝中证金融科技主题交易型开放式指数证券投资基金,SZ,L,纯境内,930986.CSI,中证金融科技主题指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",26339963.6200,1800671.9120,2026-06-03,0.6680,6057464.8200,410826.3440,6057464.8200,4770920.0000,5498652.1500,4214233.1500,5798693.5000
85,159387.SZ,国泰创业板新能源ETF,创业板新能源ETF国泰,国泰创业板新能源交易型开放式指数证券投资基金,SZ,L,纯境内,399266.SZ,创业板新能源指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",25682527.6600,2429922.7190,2026-06-03,0.9280,4204899.0000,393064.5237,4204899.0000,5206127.0000,4028465.0000,6718390.0000,5524646.6600
86,515790.SH,华泰柏瑞中证光伏产业ETF,光伏ETF华泰柏瑞,华泰柏瑞中证光伏产业交易型开放式指数证券投资基金,SH,L,纯境内,931151.CSI,中证光伏产业指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",24755571.3400,2686074.4710,2026-06-03,1.0650,4617907.0000,494880.3830,4617907.0000,3496116.9500,5065894.7000,5792376.0200,5783276.6700
87,588220.SH,科创100ETF基金,科创100ETF鹏华,鹏华上证科创板100交易型开放式指数证券投资基金,SH,L,纯境内,000698.SH,上证科创板100指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",23538957.0900,4216281.5380,2026-06-03,1.7810,3669133.9300,655620.2460,3669133.9300,4085896.9400,3711406.8100,5881771.5400,6190747.8700
88,159196.SZ,易方达中证港股通信息技术综合ETF,港股通信息技术ETF易方达,易方达中证港股通信息技术综合交易型开放式指数证券投资基金,SZ,L,纯境内,930967.CSI,中证港股通信息技术综合指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",23182054.3100,3256476.4014,2026-06-03,1.4180,4334651.1500,619369.1781,4334651.1500,4702284.1400,4491898.0000,4964106.0000,4689115.0200
89,513860.SH,海富通中证港股通科技ETF,港股通科技ETF海富通,海富通中证港股通科技交易型开放式指数证券投资基金,SH,L,纯境内,931573.CSI,中证港股通科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",23073130.0000,1476251.3310,2026-06-03,0.6410,4416911.0000,283905.3690,4416911.0000,6640827.0000,5501164.0000,3157406.0000,3356822.0000
90,159742.SZ,博时恒生科技ETF(QDII),恒生科技ETF博时,博时恒生科技交易型开放式指数证券投资基金(QDII),SZ,L,QDII,HSTECH.HI,恒生科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",22994865.8000,1472693.9758,2026-06-03,0.6480,3802735.0000,247275.0481,3802735.0000,6664482.7900,4843148.0100,4219557.0000,3464943.0000
91,159819.SZ,易方达中证人工智能主题ETF,人工智能ETF易方达,易方达中证人工智能主题交易型开放式指数证券投资基金,SZ,L,纯境内,930713.CSI,中证人工智能主题指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",22987495.1100,4574550.0788,2026-06-03,2.0380,5495611.3400,1123093.1101,5495611.3400,4560460.7000,4408523.8200,4595307.0500,3927592.2000
92,588060.SH,广发科创50ETF,科创50ETF广发,广发上证科创板50成份交易型开放式指数证券投资基金,SH,L,纯境内,000688.SH,上证科创板50成份指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",22767459.3100,2522024.3630,2026-06-03,1.0980,4311020.0400,475183.5360,4311020.0400,4139319.7800,4663160.2700,6301792.6600,3352166.5600
93,159509.SZ,景顺长城纳斯达克科技ETF(QDII),纳指科技ETF景顺,景顺长城纳斯达克科技市值加权交易型开放式指数证券投资基金(QDII),SZ,L,QDII,NDXTMC.NASDAQ,纳斯达克科技市值加权指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",22753887.6900,6308140.9172,2026-06-03,2.8700,4568706.2200,1307537.0186,4568706.2200,4941385.7500,4706420.9800,4267983.9300,4269390.8100
94,563220.SH,富国中证A500ETF,A500ETF富国,富国中证A500交易型开放式指数证券投资基金,SH,L,纯境内,000510.SH,中证A500指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",21560045.6900,2908694.5230,2026-06-03,1.3560,5058497.7200,688098.9690,5058497.7200,4155116.6000,4692200.0000,3619094.2900,4035137.0800
95,159101.SZ,华夏国证港股通科技ETF,港股通科技ETF华夏,华夏国证港股通科技交易型开放式指数证券投资基金,SZ,L,纯境内,987008.SZ,国证港股通科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",21451397.2100,1651237.3633,2026-06-03,0.7770,3494803.0800,273008.7705,3494803.0800,5496595.0300,3719914.2800,4597300.6700,4142784.1500
96,513750.SH,广发中证港股通非银ETF,港股通非银ETF广发,广发中证港股通非银行金融主题交易型开放式指数证券投资基金,SH,L,纯境内,931024.CSI,中证港股通非银行金融主题指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",21390527.9800,3255581.2960,2026-06-03,1.5210,3109976.0000,472915.8400,3109976.0000,4156182.5000,3866012.9600,5082143.0000,5176213.5200
97,563800.SH,广发中证A500ETF,A500ETF广发,广发中证A500交易型开放式指数证券投资基金,SH,L,纯境内,000510.SH,中证A500指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",21210721.5500,2742240.6270,2026-06-03,1.3020,4065152.7700,530549.3900,4065152.7700,4620766.5600,5236090.1000,3407280.3400,3881431.7800
98,513260.SH,汇添富恒生科技ETF,恒生科技ETF汇添富,汇添富恒生科技交易型开放式指数证券投资基金(QDII),SH,L,QDII,HSTECH.HI,恒生科技指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",21072061.5200,2560693.7930,2026-06-03,1.2300,3614854.6400,446676.5700,3614854.6400,5547807.8800,4036392.0000,5247288.0000,2625719.0000
99,159351.SZ,嘉实中证A500ETF,A500ETF嘉实,嘉实中证A500交易型开放式指数证券投资基金,SZ,L,纯境内,000510.SH,中证A500指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",20972513.2600,2727605.6205,2026-06-03,1.3050,4924870.2200,646681.5196,4924870.2200,4396682.0000,4106785.0000,3787746.0000,3756430.0400
100,515980.SH,华富中证人工智能产业ETF,人工智能ETF华富,华富中证人工智能产业交易型开放式指数证券投资基金,SH,L,纯境内,931071.CSI,中证人工智能产业指数,5,"2026-06-03,2026-06-02,2026-06-01,2026-05-29,2026-05-28",20002164.8400,2302203.0870,2026-06-03,1.1780,4996467.9600,590552.6780,4996467.9600,3818770.0100,4219065.9000,3164017.1500,3803843.8200
