trade_date,ts_code,status,row_count_probe,sample_con_code,sample_con_name,error_message
20260618,516550.SH,hit,1,000408.SZ,藏格矿业,
20260618,516560.SH,hit,1,000156.SZ,华数传媒,
20260618,516570.SH,hit,1,000301.SZ,东方盛虹,
20260618,516580.SH,hit,1,000009.SZ,中国宝安,
20260618,516590.SH,hit,1,000009.SZ,中国宝安,
20260618,516600.SH,hit,1,000001.SZ,平安银行,
20260618,516610.SH,hit,1,000710.SZ,贝瑞基因,
20260618,516620.SH,hit,1,000156.SZ,华数传媒,
20260618,516630.SH,hit,1,000066.SZ,中国长城,
20260618,516640.SH,hit,1,001309.SZ,德明利,
20260618,516650.SH,hit,1,000060.SZ,中金岭南,
20260618,516660.SH,hit,1,000009.SZ,中国宝安,
20260618,516670.SH,hit,1,000048.SZ,京基智农,
20260618,516700.SH,hit,1,000066.SZ,中国长城,
20260618,516710.SH,hit,1,000301.SZ,东方盛虹,
20260618,516730.SH,hit,1,000166.SZ,申万宏源,
20260618,516750.SH,hit,1,000012.SZ,南  玻A,
20260618,516760.SH,hit,1,000048.SZ,京基智农,
20260618,516770.SH,hit,1,002148.SZ,北纬科技,
20260618,516780.SH,hit,1,000612.SZ,焦作万方,
20260618,516790.SH,hit,1,000710.SZ,贝瑞基因,
20260618,516800.SH,hit,1,000725.SZ,京东方A,
20260618,516810.SH,hit,1,000048.SZ,京基智农,
20260618,516820.SH,hit,1,000423.SZ,东阿阿胶,
20260618,516830.SH,hit,1,000001.SZ,平安银行,
20260618,516840.SH,hit,1,000338.SZ,潍柴动力,
20260618,516850.SH,hit,1,000009.SZ,中国宝安,
20260618,516860.SH,hit,1,000555.SZ,神州信息,
20260618,516880.SH,hit,1,000591.SZ,太阳能,
20260618,516890.SH,hit,1,000301.SZ,东方盛虹,
20260618,516910.SH,hit,1,000065.SZ,北方国际,
20260618,516920.SH,hit,1,001309.SZ,德明利,
20260618,516930.SH,hit,1,000403.SZ,派林生物,
20260618,516950.SH,hit,1,000157.SZ,中联重科,
20260618,516960.SH,hit,1,000157.SZ,中联重科,
20260618,516970.SH,hit,1,000032.SZ,深桑达A,
20260618,517000.SH,hit,1,000001.SZ,平安银行,
20260618,517050.SH,hit,1,000938.SZ,紫光股份,
20260618,517080.SH,hit,1,000001.SZ,平安银行,
20260618,517090.SH,hit,1,000028.SZ,国药一致,
20260618,517100.SH,hit,1,000001.SZ,平安银行,
20260618,517110.SH,hit,1,000661.SZ,长春高新,
20260618,517120.SH,hit,1,000661.SZ,长春高新,
20260618,517130.SH,hit,1,000938.SZ,紫光股份,
20260618,517180.SH,hit,1,000028.SZ,国药一致,
20260618,517200.SH,hit,1,000938.SZ,紫光股份,
20260618,517300.SH,hit,1,000001.SZ,平安银行,
20260618,517350.SH,hit,1,000063.SZ,中兴通讯,
20260618,517360.SH,hit,1,000100.SZ,TCL科技,
20260618,517380.SH,hit,1,000739.SZ,普洛药业,
20260618,517390.SH,hit,1,000938.SZ,紫光股份,
20260618,517400.SH,hit,1,000017.SZ,深中华A,
20260618,517520.SH,hit,1,000017.SZ,深中华A,
20260618,517550.SH,hit,1,00027.HK,银河娱乐,
20260618,517660.SH,hit,1,000063.SZ,中兴通讯,
