rank_by_30d_vol,ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,matched_days,first_matched_trade_date,latest_matched_trade_date,vol_30d,amount_30d,avg_vol_30d,latest_close,latest_vol,latest_amount,api_name,fetched_at
882,562990.SH,易方达中证上海环交所碳中和ETF,碳中和ETF易方达,易方达中证上海环交所碳中和交易型开放式指数证券投资基金,931755.CSI,中证上海环交所碳中和指数,2022-07-11,2022-07-19,L,SH,易方达基金,中国工商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3203100.1200,351770.7140,106770.004000000000,1.0770,80800.0000,8718.5060,etf_basic,2026-06-03 21:44:08.972707+08
883,515320.SH,华安中证电子50ETF,电子50ETF华安,华安中证电子50交易型开放式指数证券投资基金,931461.CSI,中证电子50指数,2020-11-25,2021-01-08,L,SH,华安基金,中国银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3195215.0000,500029.3290,106507.166666666667,1.7090,93965.0000,16250.0540,etf_basic,2026-06-03 21:44:08.972707+08
884,159187.SZ,景顺长城创业板新能源ETF,创业板新能源ETF景顺,景顺长城创业板新能源交易型开放式指数证券投资基金,399266.SZ,创业板新能源指数,2026-03-24,2026-04-01,L,SZ,景顺长城基金,华泰证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3193381.8800,346860.9553,106446.062666666667,1.0770,110271.7100,11946.7906,etf_basic,2026-06-03 21:44:08.972707+08
885,562920.SH,易方达中证信息安全主题ETF,信息安全ETF易方达,易方达中证信息安全主题交易型开放式指数证券投资基金,399994.SZ,中证信息安全主题指数,2023-05-31,2023-06-12,L,SH,易方达基金,国泰海通证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3167496.0000,332062.4160,105583.200000000000,0.9720,138075.0000,13522.0100,etf_basic,2026-06-03 21:44:08.972707+08
886,588410.SH,鹏华中证科创创业人工智能ETF,科创创业人工智能ETF鹏华,鹏华中证科创创业人工智能交易型开放式指数证券投资基金,932456.CSI,中证科创创业人工智能指数,2025-12-17,2026-01-05,L,SH,鹏华基金,长城证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3165830.0000,420873.5020,105527.666666666667,1.4080,122916.0000,17403.3560,etf_basic,2026-06-03 21:44:08.972707+08
887,512950.SH,华夏中证央企ETF,央企改革ETF华夏,华夏中证央企结构调整交易型开放式指数证券投资基金,000860.SH,中证央企结构调整指数,2018-10-19,2019-01-18,L,SH,华夏基金,中国农业银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,3141597.8700,498663.7880,104719.929000000000,1.5650,60747.0000,9525.4220,etf_basic,2026-06-03 21:44:08.972707+08
888,560380.SH,南方中证A100ETF,A100ETF南方,南方中证A100交易型开放式指数证券投资基金,000903.SH,中证A100指数,2024-12-19,2024-12-27,L,SH,南方基金,中国工商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3128148.0000,412101.2720,104271.600000000000,1.3410,84607.0000,11407.2080,etf_basic,2026-06-03 21:44:08.972707+08
889,513320.SH,易方达恒生港股通新经济ETF,港股通新经济ETF易方达,易方达恒生港股通新经济交易型开放式指数证券投资基金,HSSCNE.HI,恒生港股通新经济指数,2022-03-03,2022-03-21,L,SH,易方达基金,招商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3121479.0000,352113.7130,104049.300000000000,1.1130,100370.0000,11208.7370,etf_basic,2026-06-03 21:44:08.972707+08
890,515810.SH,易方达中证800ETF,中证800ETF易方达,易方达中证800交易型开放式指数证券投资基金,000906.SH,中证800指数,2019-10-08,2019-10-25,L,SH,易方达基金,中国建设银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,3117797.9600,552757.2140,103926.598666666667,1.7930,81418.0000,14633.8120,etf_basic,2026-06-03 21:44:08.972707+08
891,516050.SH,科技龙头ETF工银,科技龙头ETF工银,工银瑞信中证科技龙头交易型开放式指数证券投资基金,931087.CSI,中证科技龙头指数,2021-01-21,2021-02-05,L,SH,工银瑞信基金,中信证券股份有限公司,0.450000,纯境内,30,2026-04-20,2026-06-03,3108621.0000,425786.3900,103620.700000000000,1.5260,106920.0000,16384.1470,etf_basic,2026-06-03 21:44:08.972707+08
892,159173.SZ,南方中证全指农牧渔ETF,农牧ETF南方,南方中证全指农牧渔交易型开放式指数证券投资基金,930910.CSI,中证全指农牧渔指数,2026-03-25,2026-04-02,L,SZ,南方基金,中国工商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,3098381.5600,292710.9154,103279.385333333333,0.8620,96668.1300,8310.4356,etf_basic,2026-06-03 21:44:08.972707+08
893,159337.SZ,中证500ETF基金,中证500ETF东财,东财中证500交易型开放式指数证券投资基金,000905.SH,中证小盘500指数,2024-09-02,2024-09-20,L,SZ,东财基金,中国国际金融股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3092150.6000,592520.4881,103071.686666666667,1.8910,101879.0000,19279.9242,etf_basic,2026-06-03 21:44:08.972707+08
894,159536.SZ,汇添富中证2000ETF,中证2000ETF汇添富,汇添富中证2000交易型开放式指数证券投资基金,932000.CSI,中证2000指数,2023-09-13,2023-09-21,L,SZ,汇添富基金,招商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3087673.1700,482546.0306,102922.439000000000,1.5160,68401.0100,10361.4873,etf_basic,2026-06-03 21:44:08.972707+08
895,562050.SH,华宝中证制药ETF,药ETF华宝,华宝中证制药交易型开放式指数证券投资基金,932217.CSI,中证制药指数,2025-06-11,2025-06-19,L,SH,华宝基金,招商证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3084466.0000,292441.6570,102815.533333333333,0.8780,122499.0000,10757.3540,etf_basic,2026-06-03 21:44:08.972707+08
896,563210.SH,富国恒生A股专精特新企业ETF,专精特新ETF富国,富国恒生A股专精特新企业交易型开放式指数证券投资基金,HSCSSE.HI,恒生A股专精特新企业指数,2025-01-16,2025-01-24,L,SH,富国基金,长江证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,3077013.0000,641948.0250,102567.100000000000,2.0940,111395.0000,23374.4640,etf_basic,2026-06-03 21:44:08.972707+08
