rank_by_30d_vol,ts_code,csname,extname,cname,index_code,index_name,setup_date,list_date,list_status,exchange,mgr_name,custod_name,mgt_fee,etf_type,matched_days,first_matched_trade_date,latest_matched_trade_date,vol_30d,amount_30d,avg_vol_30d,latest_close,latest_vol,latest_amount,api_name,fetched_at
1,513130.SH,华泰柏瑞南方东英恒生科技指数ETF(QDII),恒生科技ETF华泰柏瑞,华泰柏瑞南方东英恒生科技指数交易型开放式指数证券投资基金(QDII),HSTECH.HI,恒生科技指数,2021-05-24,2021-06-01,L,SH,华泰柏瑞基金,中国建设银行股份有限公司,0.200000,QDII,30,2026-04-20,2026-06-03,2043849315.5700,127063682.0250,68128310.519000000000,0.6290,61157435.2900,3859339.5730,etf_basic,2026-06-03 21:44:08.972707+08
2,513180.SH,华夏恒生科技ETF(QDII),恒生科技ETF华夏,华夏恒生科技交易型开放式指数证券投资基金(QDII),HSTECH.HI,恒生科技指数,2021-05-18,2021-05-25,L,SH,华夏基金,中国建设银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,1962212352.0400,124229524.3300,65407078.401333333333,0.6410,54706235.7900,3518701.8770,etf_basic,2026-06-03 21:44:08.972707+08
3,513330.SH,华夏恒生互联网科技业ETF(QDII),恒生互联网ETF华夏,华夏恒生互联网科技业交易型开放式指数证券投资基金(QDII),HSIII.HI,恒生互联网科技业指数,2021-01-26,2021-02-08,L,SH,华夏基金,中国建设银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,1631226171.9600,68754663.0620,54374205.732000000000,0.4120,58153446.4400,2408873.8200,etf_basic,2026-06-03 21:44:08.972707+08
4,563360.SH,华泰柏瑞中证A500ETF,A500ETF华泰柏瑞,华泰柏瑞中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,2024-09-25,2024-10-15,L,SH,华泰柏瑞基金,国泰海通证券股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,1142327233.6800,155421987.5120,38077574.456000000000,1.3780,36435161.0000,5038381.2310,etf_basic,2026-06-03 21:44:08.972707+08
5,159338.SZ,国泰中证A500ETF,中证A500ETF国泰,国泰中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,2024-09-26,2024-10-15,L,SZ,国泰基金,华泰证券股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,1119043146.5300,144305500.8367,37301438.217666666667,1.3050,36733002.0400,4811184.2981,etf_basic,2026-06-03 21:44:08.972707+08
6,588000.SH,华夏上证科创板50成份ETF,科创50ETF华夏,华夏上证科创板50成份交易型开放式指数证券投资基金,000688.SH,上证科创板50成份指数,2020-09-28,2020-11-16,L,SH,华夏基金,招商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,1042532738.4300,185041281.0410,34751091.281000000000,1.8230,41060877.2700,7513993.8770,etf_basic,2026-06-03 21:44:08.972707+08
7,513120.SH,广发中证香港创新药(QDII-ETF),港股创新药ETF广发,广发中证香港创新药交易型开放式指数证券投资基金(QDII),931787.CSI,中证香港创新药指数,2022-07-01,2022-07-12,L,SH,广发基金,交通银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,1015710476.6100,119425384.7670,33857015.887000000000,1.0390,41663541.9100,4378283.5910,etf_basic,2026-06-03 21:44:08.972707+08
8,159352.SZ,南方中证A500ETF,A500ETF南方,南方中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,2024-09-25,2024-10-15,L,SZ,南方基金,中国工商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,1005969270.6900,134778548.0499,33532309.023000000000,1.3560,22616134.9600,3075867.8703,etf_basic,2026-06-03 21:44:08.972707+08
9,159792.SZ,富国中证港股通互联网ETF,港股通互联网ETF富国,富国中证港股通互联网交易型开放式指数证券投资基金,931637.CSI,中证港股通互联网指数,2021-09-15,2021-09-28,L,SZ,富国基金,中国银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,979989738.5100,64649444.5882,32666324.617000000000,0.6360,38876104.9600,2489470.6752,etf_basic,2026-06-03 21:44:08.972707+08
10,513090.SH,易方达中证香港证券投资主题(港股通)ETF,香港证券ETF易方达,易方达中证香港证券投资主题交易型开放式指数证券投资基金,930709.CSI,中证香港证券投资主题指数,2020-03-13,2020-03-26,L,SH,易方达基金,招商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,880332182.9800,160367829.2710,29344406.099333333333,1.7880,33298614.7000,5958459.1500,etf_basic,2026-06-03 21:44:08.972707+08
11,159740.SZ,大成恒生科技ETF(QDII),恒生科技ETF大成,大成恒生科技交易型开放式指数证券投资基金(QDII),HSTECH.HI,恒生科技指数,2021-05-18,2021-05-27,L,SZ,大成基金,中国银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,743514464.3100,46453094.5476,24783815.477000000000,0.6310,21279843.0000,1348858.9723,etf_basic,2026-06-03 21:44:08.972707+08
12,159516.SZ,国泰中证半导体材料设备主题ETF,半导体设备ETF国泰,国泰中证半导体材料设备主题交易型开放式指数证券投资基金,931743.CSI,中证半导体材料设备主题指数,2023-07-19,2023-07-27,L,SZ,国泰基金,广发证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,723095956.9600,83344149.6247,24103198.565333333333,1.1980,21133127.3300,2532842.3928,etf_basic,2026-06-03 21:44:08.972707+08
13,515880.SH,国泰中证全指通信设备ETF,通信ETF国泰,国泰中证全指通信设备交易型开放式指数证券投资基金,931160.CSI,中证全指通信设备指数,2019-08-16,2019-09-06,L,SH,国泰基金,中国工商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,698367482.4200,103451882.6830,23278916.080666666667,1.7160,34086257.0500,5859590.7980,etf_basic,2026-06-03 21:44:08.972707+08
14,512050.SH,华夏中证A500ETF,A500ETF华夏,华夏中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,2024-11-08,2024-11-15,L,SH,华夏基金,招商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,690713047.0800,88456146.8720,23023768.236000000000,1.2980,17829681.1700,2321891.8750,etf_basic,2026-06-03 21:44:08.972707+08
15,512000.SH,华宝中证全指证券公司ETF,券商ETF华宝,华宝中证全指证券公司交易型开放式指数证券投资基金,399975.SZ,中证全指证券公司指数,2016-08-30,2016-09-14,L,SH,华宝基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,667239820.8000,33931158.1410,22241327.360000000000,0.4950,25974706.0400,1286156.8150,etf_basic,2026-06-03 21:44:08.972707+08
16,513010.SH,易方达恒生科技ETF(QDII),恒生科技ETF易方达,易方达恒生科技交易型开放式指数证券投资基金(QDII),HSTECH.HI,恒生科技指数,2021-05-18,2021-05-25,L,SH,易方达基金,招商银行股份有限公司,0.200000,QDII,30,2026-04-20,2026-06-03,604874924.7700,39392790.8110,20162497.492333333333,0.6590,20964561.1500,1386119.2780,etf_basic,2026-06-03 21:44:08.972707+08
17,512880.SH,国泰中证全指证券公司ETF,证券ETF国泰,国泰中证全指证券公司交易型开放式指数证券投资基金,399975.SZ,中证全指证券公司指数,2016-07-26,2016-08-08,L,SH,国泰基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,572016511.2700,60853733.4700,19067217.042333333333,1.0350,20051986.9700,2075978.5830,etf_basic,2026-06-03 21:44:08.972707+08
18,513050.SH,易方达中证海外中国互联网50(QDII-ETF),中概互联网ETF易方达,易方达中证海外中国互联网50交易型开放式指数证券投资基金,H30533.CSI,中证海外中国互联网50指数,2017-01-04,2017-01-18,L,SH,易方达基金,招商银行股份有限公司,0.600000,QDII,30,2026-04-20,2026-06-03,559817546.8500,66386035.0210,18660584.895000000000,1.1540,25598371.0900,2970577.0970,etf_basic,2026-06-03 21:44:08.972707+08
19,513310.SH,华泰柏瑞中证韩交所中韩半导体ETF(QDII),中韩半导体ETF华泰柏瑞,华泰柏瑞中证韩交所中韩半导体交易型开放式指数证券投资基金(QDII),931790.CSI,中证韩交所中韩半导体指数,2022-11-02,2022-12-22,L,SH,华泰柏瑞基金,中国建设银行股份有限公司,0.800000,QDII,30,2026-04-20,2026-06-03,543009791.9700,283359081.6020,18100326.399000000000,6.1360,7229631.7900,4427159.4470,etf_basic,2026-06-03 21:44:08.972707+08
20,512170.SH,华宝中证医疗ETF,医疗ETF华宝,华宝中证医疗交易型开放式指数证券投资基金,399989.SZ,中证医疗指数,2019-05-20,2019-06-17,L,SH,华宝基金,中国银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,536294679.9800,17545876.1800,17876489.332666666667,0.3050,18058592.0100,552166.7980,etf_basic,2026-06-03 21:44:08.972707+08
21,512690.SH,酒ETF,酒ETF鹏华,鹏华中证酒交易型开放式指数证券投资基金,399987.SZ,中证酒指数,2019-04-04,2019-05-06,L,SH,鹏华基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,519766086.3000,24115937.6810,17325536.210000000000,0.4440,21666552.0000,954736.4090,etf_basic,2026-06-03 21:44:08.972707+08
22,159361.SZ,易方达中证A500ETF,A500ETF易方达,易方达中证A500交易型开放式指数证券投资基金,000510.SH,中证A500指数,2024-11-12,2024-11-19,L,SZ,易方达基金,交通银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,481670919.3500,63287302.6187,16055697.311666666667,1.3290,15111225.0600,2014033.6019,etf_basic,2026-06-03 21:44:08.972707+08
23,513770.SH,华宝中证港股通互联网ETF,港股互联网ETF华宝,华宝中证港股通互联网交易型开放式指数证券投资基金,931637.CSI,中证港股通互联网指数,2022-02-09,2022-02-18,L,SH,华宝基金,中国工商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,467727440.8100,18783925.8600,15590914.693666666667,0.3880,21188520.0000,825338.8590,etf_basic,2026-06-03 21:44:08.972707+08
24,588200.SH,嘉实上证科创板芯片ETF,科创芯片ETF嘉实,嘉实上证科创板芯片交易型开放式指数证券投资基金,000685.SH,上证科创板芯片指数,2022-09-30,2022-10-26,L,SH,嘉实基金,中信证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,463798130.3000,157223942.8870,15459937.676666666667,3.5710,18954841.7200,6799862.0220,etf_basic,2026-06-03 21:44:08.972707+08
25,159570.SZ,汇添富国证港股通创新药ETF,港股通创新药ETF汇添富,汇添富国证港股通创新药交易型开放式指数证券投资基金,987018.SZ,国证港股通创新药指数,2023-12-28,2024-01-22,L,SZ,汇添富基金,国泰海通证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,452880866.4400,66403804.5202,15096028.881333333333,1.2770,22954287.5900,2952085.5341,etf_basic,2026-06-03 21:44:08.972707+08
26,512010.SH,易方达沪深300医药ETF,医药ETF易方达,易方达沪深300医药卫生交易型开放式指数证券投资基金,000913.SH,沪深300医药卫生指数,2013-09-23,2013-10-28,L,SH,易方达基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,439347483.3000,15580358.7280,14644916.110000000000,0.3300,20239445.0000,669427.1670,etf_basic,2026-06-03 21:44:08.972707+08
27,159518.SZ,嘉实标普石油天然气勘探及生产精选行业ETF(QDII),标普油气ETF嘉实,嘉实标普石油天然气勘探及生产精选行业交易型开放式指数证券投资基金(QDII),SPSIOP.OTH,标普石油与天然气的勘探与生产精选行业指数,2023-11-01,2023-11-15,L,SZ,嘉实基金,招商银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,432842310.9800,51543346.8918,14428077.032666666667,1.1650,8590047.0000,992736.8650,etf_basic,2026-06-03 21:44:08.972707+08
28,159915.SZ,易方达创业板ETF,创业板ETF易方达,易方达创业板交易型开放式指数证券投资基金,399006.SZ,创业板指数,2011-09-20,2011-12-09,L,SZ,易方达基金,中国工商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,425346265.9800,165334341.9397,14178208.866000000000,4.1450,16490581.3400,6853479.7311,etf_basic,2026-06-03 21:44:08.972707+08
29,159567.SZ,港股创新药ETF,港股创新药ETF银华,银华国证港股通创新药交易型开放式指数证券投资基金,987018.SZ,国证港股通创新药指数,2024-01-03,2024-01-11,L,SZ,银华基金,招商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,401712165.3100,28743586.4890,13390405.510333333333,0.6190,13290548.0000,829467.3951,etf_basic,2026-06-03 21:44:08.972707+08
30,513350.SH,富国标普石油天然气勘探及生产精选行业ETF(QDII),标普油气ETF富国,富国标普石油天然气勘探及生产精选行业交易型开放式指数证券投资基金(QDII),SPSIOP.OTH,标普石油与天然气的勘探与生产精选行业指数,2023-11-20,2023-11-28,L,SH,富国基金,招商银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,390831228.0900,50293284.1280,13027707.603000000000,1.2820,17364892.9900,2191756.4860,etf_basic,2026-06-03 21:44:08.972707+08
31,159636.SZ,港股通科技30ETF工银,港股通科技30ETF工银,工银瑞信国证港股通科技交易型开放式指数证券投资基金,987008.SZ,国证港股通科技指数,2022-06-30,2022-07-20,L,SZ,工银瑞信基金,中信建投证券股份有限公司,0.450000,纯境内,30,2026-04-20,2026-06-03,364496474.1200,20388609.3484,12149882.470666666667,0.5470,10613187.5800,582567.9817,etf_basic,2026-06-03 21:44:08.972707+08
32,159949.SZ,华安创业板50ETF,创业板50ETF华安,华安创业板50交易型开放式指数证券投资基金,399673.SZ,创业板50指数,2016-06-30,2016-07-22,L,SZ,华安基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,355295367.2200,66606611.5208,11843178.907333333333,2.0170,14519447.7700,2943104.5366,etf_basic,2026-06-03 21:44:08.972707+08
33,588080.SH,易方达上证科创板50ETF,科创50ETF易方达,易方达上证科创板50成份交易型开放式指数证券投资基金,000688.SH,上证科创板50成份指数,2020-09-28,2020-11-16,L,SH,易方达基金,中国工商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,350488176.1500,60154390.7840,11682939.205000000000,1.7670,13613450.0300,2415827.0140,etf_basic,2026-06-03 21:44:08.972707+08
34,510050.SH,华夏上证50ETF,上证50ETF华夏,上证50交易型开放式指数证券投资基金,000016.SH,上证50指数,2004-12-30,2005-02-23,L,SH,华夏基金,中国工商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,345144762.4700,104987852.2910,11504825.415666666667,2.9960,9154496.3300,2746601.6120,etf_basic,2026-06-03 21:44:08.972707+08
35,159941.SZ,广发纳指100ETF,纳指ETF广发,广发纳斯达克100交易型开放式指数证券投资基金,NDX.NASDAQ,纳斯达克100指数,2015-06-10,2015-07-13,L,SZ,广发基金,中国银行股份有限公司,0.800000,QDII,30,2026-04-20,2026-06-03,343577192.0700,53936601.8587,11452573.069000000000,1.7070,14680710.7200,2516223.5473,etf_basic,2026-06-03 21:44:08.972707+08
36,159870.SZ,化工ETF,化工ETF鹏华,鹏华中证细分化工产业主题交易型开放式指数证券投资基金,000813.CSI,中证细分化工产业主题指数,2021-02-23,2021-03-03,L,SZ,鹏华基金,华泰证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,323984179.7200,28961938.5287,10799472.657333333333,0.8300,7638429.7700,633934.4123,etf_basic,2026-06-03 21:44:08.972707+08
37,159131.SZ,华宝中证港股通信息技术综合ETF,港股通信息技术ETF华宝,华宝中证港股通信息技术综合交易型开放式指数证券投资基金,930967.CSI,中证港股通信息技术综合指数,2025-11-05,2025-11-13,L,SZ,华宝基金,江苏银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,323591625.7300,33094804.5186,10786387.524333333333,1.1110,22133604.1400,2474293.4282,etf_basic,2026-06-03 21:44:08.972707+08
38,510300.SH,华泰柏瑞沪深300ETF,沪深300ETF华泰柏瑞,华泰柏瑞沪深300交易型开放式指数证券投资基金,000300.SH,沪深300指数,2012-05-04,2012-05-28,L,SH,华泰柏瑞基金,中国工商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,318587780.1400,155401979.3330,10619592.671333333333,4.9650,7604618.9100,3784497.9550,etf_basic,2026-06-03 21:44:08.972707+08
39,513980.SH,景顺长城中证港股通科技ETF,港股科技ETF景顺,景顺长城中证港股通科技交易型开放式指数证券投资基金,931573.CSI,中证港股通科技指数,2021-06-21,2021-07-02,L,SH,景顺长城基金,招商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,312336515.2000,20087556.6290,10411217.173333333333,0.6460,8040848.0400,521601.4940,etf_basic,2026-06-03 21:44:08.972707+08
40,159967.SZ,华夏创成长ETF,创业板成长ETF华夏,华夏创业板动量成长交易型开放式指数证券投资基金,399296.SZ,创业板动量成长指数,2019-06-21,2019-07-15,L,SZ,华夏基金,中国农业银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,306970879.9800,26677119.3898,10232362.666000000000,0.9690,12440198.9300,1209148.5312,etf_basic,2026-06-03 21:44:08.972707+08
41,562500.SH,华夏中证机器人ETF,机器人ETF华夏,华夏中证机器人交易型开放式指数证券投资基金,H30590.CSI,中证机器人指数,2021-12-17,2021-12-29,L,SH,华夏基金,兴业银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,303944381.4000,34358441.0700,10131479.380000000000,1.1270,8484480.6000,962602.9480,etf_basic,2026-06-03 21:44:08.972707+08
42,512480.SH,国联安半导体ETF,半导体ETF国联安,国联安中证全指半导体产品与设备交易型开放式指数证券投资基金,H30184.CSI,中证全指半导体产品与设备指数,2019-05-08,2019-06-12,L,SH,国联安基金,国泰海通证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,301482924.5100,60189755.9950,10049430.817000000000,2.1500,9635151.1900,2075032.5300,etf_basic,2026-06-03 21:44:08.972707+08
43,159363.SZ,华宝创业板人工智能ETF,创业板人工智能ETF华宝,华宝创业板人工智能交易型开放式指数证券投资基金,970070.SZ,创业板人工智能指数,2024-12-06,2024-12-16,L,SZ,华宝基金,广发证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,286366003.6100,38768585.2011,9545533.453666666667,1.4850,14533843.1900,2174936.0713,etf_basic,2026-06-03 21:44:08.972707+08
44,512100.SH,南方中证1000ETF,中证1000ETF南方,南方中证1000交易型开放式指数证券投资基金,000852.SH,中证1000指数,2016-09-29,2016-11-04,L,SH,南方基金,招商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,283597583.2400,97030375.9350,9453252.774666666667,3.3890,13132783.2600,4469758.8980,etf_basic,2026-06-03 21:44:08.972707+08
45,159206.SZ,卫星ETF永赢,卫星ETF永赢,永赢国证商用卫星通信产业交易型开放式指数证券投资基金,980018.SZ,国证商用卫星通信产业指数,2025-03-06,2025-03-14,L,SZ,永赢基金,中信建投证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,283191594.4600,52052265.4420,9439719.815333333333,1.6380,8178082.3700,1338240.5653,etf_basic,2026-06-03 21:44:08.972707+08
46,159755.SZ,广发国证新能源车电池ETF,电池ETF广发,广发国证新能源车电池交易型开放式指数证券投资基金,980032.SZ,国证新能源车电池指数,2021-06-15,2021-06-24,L,SZ,广发基金,中国工商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,255943159.5700,30346870.6863,8531438.652333333333,1.1080,4703891.0700,523200.1159,etf_basic,2026-06-03 21:44:08.972707+08
47,512800.SH,华宝中证银行ETF,银行ETF华宝,华宝中证银行交易型开放式指数证券投资基金,399986.SZ,中证银行指数,2017-07-18,2017-08-03,L,SH,华宝基金,中国银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,254972994.7500,19986592.2050,8499099.825000000000,0.7830,8585319.4500,671932.2680,etf_basic,2026-06-03 21:44:08.972707+08
48,159992.SZ,创新药,创新药ETF银华,银华中证创新药产业交易型开放式指数证券投资基金,931152.CSI,中证创新药产业指数,2020-03-20,2020-04-10,L,SZ,银华基金,上海银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,252345074.9700,20280114.0250,8411502.499000000000,0.7330,7585005.0000,557563.7345,etf_basic,2026-06-03 21:44:08.972707+08
49,588170.SH,华夏上证科创板半导体材料设备主题ETF,科创半导体ETF华夏,华夏上证科创板半导体材料设备主题交易型开放式指数证券投资基金,950125.CSI,上证科创板半导体材料设备主题指数,2025-03-24,2025-04-08,L,SH,华夏基金,长江证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,252086829.3600,58969513.6490,8402894.312000000000,2.4010,8918866.7000,2140637.6390,etf_basic,2026-06-03 21:44:08.972707+08
50,513060.SH,博时恒生医疗保健(QDII-ETF),恒生医疗ETF博时,博时恒生医疗保健交易型开放式指数证券投资基金(QDII),HSHCI.HI,恒生医疗保健指数,2021-03-18,2021-03-29,L,SH,博时基金,中国农业银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,250601076.1200,13783039.7730,8353369.204000000000,0.4920,9732059.1000,482969.8410,etf_basic,2026-06-03 21:44:08.972707+08
51,159326.SZ,华夏中证电网设备主题ETF,电网设备ETF华夏,华夏中证电网设备主题交易型开放式指数证券投资基金,931994.CSI,中证电网设备主题指数,2024-08-29,2024-09-09,L,SZ,华夏基金,招商证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,246782170.8600,50548427.2177,8226072.362000000000,2.0920,7719568.3000,1616858.8742,etf_basic,2026-06-03 21:44:08.972707+08
52,520880.SH,华宝恒生港股通创新药精选ETF,港股通创新药ETF华宝,华宝恒生港股通创新药精选交易型开放式指数证券投资基金,HSSCPB.HI,恒生港股通创新药精选指数,2025-06-27,2025-07-07,L,SH,华宝基金,国信证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,226555025.6200,10575471.5330,7551834.187333333333,0.4050,13338836.0000,542974.1750,etf_basic,2026-06-03 21:44:08.972707+08
53,159892.SZ,华夏恒生生物科技ETF(QDII),恒生医药ETF华夏,华夏恒生生物科技交易型开放式指数证券投资基金(QDII),HSBIO.HI,恒生生物科技指数,2021-09-29,2021-10-19,L,SZ,华夏基金,中国农业银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,226486104.7000,16546803.6407,7549536.823333333333,0.6540,8335053.2000,548772.0575,etf_basic,2026-06-03 21:44:08.972707+08
54,511380.SH,博时可转债ETF,可转债ETF博时,博时中证可转债及可交换债券交易型开放式指数证券投资基金,931078.CSI,中证可转债及可交换债券指数,2020-03-06,2020-04-07,L,SH,博时基金,招商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,222904393.6500,317327841.9760,7430146.455000000000,14.0830,7107038.8300,10035233.7990,etf_basic,2026-06-03 21:44:08.972707+08
55,159262.SZ,广发恒生港股通科技主题ETF,港股通科技ETF广发,广发恒生港股通科技主题交易型开放式指数证券投资基金,HSSCITI.HI,恒生港股通科技主题指数,2025-06-26,2025-07-07,L,SZ,广发基金,华泰证券股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,211343481.1700,19491724.2927,7044782.705666666667,0.9550,6004196.1900,576289.6524,etf_basic,2026-06-03 21:44:08.972707+08
56,515220.SH,国泰中证煤炭ETF,煤炭ETF国泰,国泰中证煤炭交易型开放式指数证券投资基金,399998.SZ,中证煤炭指数,2020-01-20,2020-03-02,L,SH,国泰基金,中国工商银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,208517514.5700,26437251.3760,6950583.819000000000,1.4000,14781749.9300,2016974.0970,etf_basic,2026-06-03 21:44:08.972707+08
57,515120.SH,广发创新药ETF,创新药ETF广发,广发中证创新药产业交易型开放式指数证券投资基金,931152.CSI,中证创新药产业指数,2020-12-03,2021-01-04,L,SH,广发基金,中国银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,196401258.6000,11830956.1030,6546708.620000000000,0.5480,6680339.3300,367481.2690,etf_basic,2026-06-03 21:44:08.972707+08
58,510500.SH,南方中证500ETF,中证500ETF南方,中证500交易型开放式指数证券投资基金,000905.SH,中证小盘500指数,2013-02-06,2013-03-15,L,SH,南方基金,中国农业银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,193816211.5100,166387076.8690,6460540.383666666667,8.4550,3267376.5400,2771012.9570,etf_basic,2026-06-03 21:44:08.972707+08
59,159845.SZ,华夏中证1000ETF,中证1000ETF华夏,华夏中证1000交易型开放式指数证券投资基金,000852.SH,中证1000指数,2021-03-18,2021-03-31,L,SZ,华夏基金,招商银行股份有限公司,0.150000,纯境内,30,2026-04-20,2026-06-03,188803528.1400,66746642.8985,6293450.938000000000,3.4820,8258679.9200,2892833.5884,etf_basic,2026-06-03 21:44:08.972707+08
60,512070.SH,易方达沪深300非银ETF,证券保险ETF易方达,易方达沪深300非银行金融交易型开放式指数证券投资基金,H30035.CSI,沪深300非银行金融指数,2014-06-26,2014-07-18,L,SH,易方达基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,186547648.0000,14651163.9810,6218254.933333333333,0.7570,4448203.9400,336481.0540,etf_basic,2026-06-03 21:44:08.972707+08
61,159611.SZ,广发中证全指电力ETF,电力ETF广发,广发中证全指电力公用事业交易型开放式指数证券投资基金,H30199.CSI,中证全指电力公用事业指数,2021-12-29,2022-01-07,L,SZ,广发基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,186211795.3500,21945196.2901,6207059.845000000000,1.2490,14165896.3300,1746859.1214,etf_basic,2026-06-03 21:44:08.972707+08
62,512890.SH,华泰柏瑞中证红利低波动ETF,红利低波ETF华泰柏瑞,华泰柏瑞中证红利低波动交易型开放式指数证券投资基金,H30269.CSI,中证红利低波动指数,2018-12-19,2019-01-18,L,SH,华泰柏瑞基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,182388444.0200,21416440.2950,6079614.800666666667,1.1730,8019357.8500,938043.6590,etf_basic,2026-06-03 21:44:08.972707+08
63,520500.SH,华泰柏瑞恒生创新药ETF(QDII),恒生创新药ETF华泰柏瑞,华泰柏瑞恒生创新药交易型开放式指数证券投资基金(QDII),HSIDI.HI,恒生创新药指数,2024-12-16,2024-12-27,L,SH,华泰柏瑞基金,中国农业银行股份有限公司,0.500000,QDII,30,2026-04-20,2026-06-03,181935245.3600,26691032.2620,6064508.178666666667,1.2560,6084391.0000,769689.8260,etf_basic,2026-06-03 21:44:08.972707+08
64,159995.SZ,华夏国证半导体芯片ETF,芯片ETF华夏,华夏国证半导体芯片交易型开放式指数证券投资基金,980017.SZ,国证半导体芯片指数,2020-01-20,2020-02-10,L,SZ,华夏基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,180100053.5800,41684861.1596,6003335.119333333333,2.4830,7076408.9800,1753617.2040,etf_basic,2026-06-03 21:44:08.972707+08
65,515050.SH,华夏中证5G通信主题ETF,通信ETF华夏,华夏中证5G通信主题交易型开放式指数证券投资基金,931079.CSI,中证5G通信主题指数,2019-09-17,2019-10-16,L,SH,华夏基金,中国银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,178779056.5900,26912913.7420,5959301.886333333333,1.2710,11669991.0100,1488703.5920,etf_basic,2026-06-03 21:44:08.972707+08
66,159530.SZ,易方达国证机器人产业ETF,机器人ETF易方达,易方达国证机器人产业交易型开放式指数证券投资基金,980022.SZ,国证机器人产业指数,2024-01-10,2024-01-18,L,SZ,易方达基金,中国建设银行股份有限公司,0.500000,纯境内,30,2026-04-20,2026-06-03,177842259.0300,28778887.0173,5928075.301000000000,1.5390,5960067.5400,925950.0392,etf_basic,2026-06-03 21:44:08.972707+08
