ts_code,phase,view,group,trend,volatility,activity,n,coverage,negative_days,mean_loss_on_negative_days,enough_samples,up_rate,up_rate_ci95_low,up_rate_ci95_high,up_rate_valid_fraction,mean_return,mean_return_ci95_low,mean_return_ci95_high,mean_return_valid_fraction,mean_abs_return,mean_abs_return_ci95_low,mean_abs_return_ci95_high,mean_abs_return_valid_fraction,mean_downside,mean_downside_ci95_low,mean_downside_ci95_high,mean_downside_valid_fraction
000001.SH,D,amount,0,down,low,low,146,0.1554845580404686,76,0.011044687392216404,True,0.4794520547945205,0.42068643248469223,0.5806510910815939,1.0,-0.0020948889037098674,-0.004278515489587672,0.00038052071243118693,1.0,0.00940368975120036,0.00817158548495663,0.010978004450756433,1.0,0.0057492893274551145,0.004121321456649709,0.007497229335110289,1.0
000001.SH,D,amount,1,down,low,high,31,0.03301384451544196,14,0.010442567251920125,False,0.5483870967741935,0.41025641025641024,0.7307692307692307,1.0,0.0004590554209080256,-0.003679334833809374,0.005651603971167109,1.0,0.009891051648448784,0.008004954998784853,0.012256151244286384,1.0,0.004715998113770379,0.0023743725531346167,0.006964820273064989,1.0
000001.SH,D,amount,2,down,high,low,115,0.12247071352502663,53,0.011705795450662982,True,0.5391304347826087,0.4358910891089109,0.6530653390388412,1.0,0.000839659297086868,-0.002088037879166477,0.003830422810665275,1.0,0.0116293490168284,0.010341851938074995,0.013410954957530865,1.0,0.005394844859870766,0.003760394727915569,0.007238823161237284,1.0
000001.SH,D,amount,3,down,high,high,32,0.03407880724174654,16,0.005605044937858933,False,0.5,0.3125,0.6774193548387096,1.0,0.002101959926662067,-0.0015482756343003121,0.005389878299798794,1.0,0.007707004864521,0.005307241354666935,0.010439553402936435,1.0,0.0028025224689294664,0.0012659171676783747,0.00469001543845375,1.0
000001.SH,D,amount,4,up,low,low,21,0.022364217252396165,12,0.00808434793519656,False,0.42857142857142855,0.2,0.6666666666666666,1.0,-0.0006078621253917777,-0.00574135958483812,0.005868723687526093,1.0,0.008631392657690005,0.005892514320353669,0.013193515828225623,1.0,0.004619627391540891,0.002659030435844142,0.007167648655188672,1.0
000001.SH,D,amount,5,up,low,high,110,0.11714589989350373,51,0.005939708185176657,True,0.5363636363636364,0.4659090909090909,0.5952380952380952,1.0,0.0008113250797502318,-0.0007179314469873092,0.002217172728873208,1.0,0.006319054487823132,0.005186081244857787,0.007660924624457703,1.0,0.00275386470403645,0.002138918643279181,0.0035879123147355297,1.0
000001.SH,D,amount,6,up,high,low,31,0.03301384451544196,23,0.010363537539852283,False,0.25806451612903225,0.1111111111111111,0.47058823529411764,1.0,-0.005262684281175282,-0.010101619619641065,-0.001117226316118644,1.0,0.010115468197315203,0.007100987536508785,0.01482415707494877,1.0,0.007689076239245243,0.0045272657276345584,0.012104550023986348,1.0
000001.SH,D,amount,7,up,high,high,140,0.14909478168264112,67,0.00820961290791722,True,0.5214285714285715,0.4362398257889476,0.593939393939394,1.0,0.00013524991360805904,-0.0019429785396745435,0.002003459711029371,1.0,0.007993022268328829,0.0065358517463390215,0.009501753842662403,1.0,0.003928886177360384,0.0027388858648608305,0.005376795978850246,1.0
000001.SH,D,volume,0,down,low,low,145,0.154419595314164,76,0.011208292418343119,True,0.47586206896551725,0.41509433962264153,0.5747126436781609,1.0,-0.0023587906710605326,-0.004542544308703897,0.0001173778631919511,1.0,0.009390591726099148,0.008100860987916571,0.010978055200806549,1.0,0.005874691198579841,0.004216106698217583,0.007643933535241696,1.0
000001.SH,D,volume,1,down,low,high,32,0.03407880724174654,13,0.009901889042090294,False,0.59375,0.42857142857142855,0.7777777777777778,1.0,0.0016435297016447331,-0.002456012868345219,0.006379852690147627,1.0,0.009688814548343097,0.007882332999002126,0.012039036526763178,1.0,0.004022642423349182,0.00189623370058282,0.006246080501047533,1.0
