doc_id,title,api_name,category_path,source_url,local_path
214,每日停复牌信息,suspend_d,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=214,股票数据/行情数据/0214_每日停复牌信息.md
215,市场交易统计,daily_info,指数专题,https://tushare.pro/document/2?doc_id=215,指数专题/0215_市场交易统计.md
216,期货主要品种交易周报,fut_weekly_detail,期货数据,https://tushare.pro/document/2?doc_id=216,期货数据/0216_期货主要品种交易周报.md
233,财经日历,eco_cal,债券专题,https://tushare.pro/document/2?doc_id=233,债券专题/0233_财经日历.md
246,可转债转股价变动,cb_price_chg,债券专题,https://tushare.pro/document/2?doc_id=246,债券专题/0246_可转债转股价变动.md
247,可转债转股结果,cb_share,债券专题,https://tushare.pro/document/2?doc_id=247,债券专题/0247_可转债转股结果.md
250,港股交易日历,hk_tradecal,港股数据,https://tushare.pro/document/2?doc_id=250,港股数据/0250_港股交易日历.md
252,美股列表,us_basic,美股数据,https://tushare.pro/document/2?doc_id=252,美股数据/0252_美股列表.md
253,美股交易日历,us_tradecal,美股数据,https://tushare.pro/document/2?doc_id=253,美股数据/0253_美股交易日历.md
254,美股行情,us_daily,美股数据,https://tushare.pro/document/2?doc_id=254,美股数据/0254_美股行情.md
255,备用行情,bak_daily,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=255,股票数据/行情数据/0255_备用行情.md
256,债券回购日行情,repo_daily,债券专题,https://tushare.pro/document/2?doc_id=256,债券专题/0256_债券回购日行情.md
259,同花顺概念和行业指数,ths_index,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=259,股票数据/打板专题数据/0259_同花顺概念和行业指数.md
260,同花顺板块指数行情,ths_daily,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=260,股票数据/打板专题数据/0260_同花顺板块指数行情.md
261,同花顺概念板块成分,ths_member,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=261,股票数据/打板专题数据/0261_同花顺概念板块成分.md
262,股票历史列表（历史每天股票列表）,bak_basic,股票数据 / 基础数据,https://tushare.pro/document/2?doc_id=262,股票数据/基础数据/0262_股票历史列表（历史每天股票列表）.md
267,券商每月荐股,broker_recommend,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=267,股票数据/特色数据/0267_券商每月荐股.md
268,深圳市场每日交易概况,sz_daily_info,指数专题,https://tushare.pro/document/2?doc_id=268,指数专题/0268_深圳市场每日交易概况.md
269,可转债赎回信息,cb_call,债券专题,https://tushare.pro/document/2?doc_id=269,债券专题/0269_可转债赎回信息.md
271,债券大宗交易,bond_blk,债券专题,https://tushare.pro/document/2?doc_id=271,债券专题/0271_债券大宗交易.md
272,大宗交易明细,bond_blk_detail,债券专题,https://tushare.pro/document/2?doc_id=272,债券专题/0272_大宗交易明细.md
274,中央结算系统持股明细,ccass_hold_detail,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=274,股票数据/特色数据/0274_中央结算系统持股明细.md
275,机构调研表,stk_surv,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=275,股票数据/特色数据/0275_机构调研表.md
292,卖方盈利预测数据,report_rc,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=292,股票数据/特色数据/0292_卖方盈利预测数据.md
293,每日筹码及胜率,cyq_perf,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=293,股票数据/特色数据/0293_每日筹码及胜率.md
294,每日筹码分布,cyq_chips,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=294,股票数据/特色数据/0294_每日筹码分布.md
295,中央结算系统持股汇总,ccass_hold,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=295,股票数据/特色数据/0295_中央结算系统持股汇总.md
298,涨跌停列表（新）,limit_list_d,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=298,股票数据/打板专题数据/0298_涨跌停列表（新）.md
304,港股分钟行情,hk_mins,港股数据,https://tushare.pro/document/2?doc_id=304,港股数据/0304_港股分钟行情.md
305,可转债票面利率,cb_rate,债券专题,https://tushare.pro/document/2?doc_id=305,债券专题/0305_可转债票面利率.md
308,中信行业指数行情,ci_daily,指数专题,https://tushare.pro/document/2?doc_id=308,指数专题/0308_中信行业指数行情.md
311,游资名录,hm_list,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=311,股票数据/打板专题数据/0311_游资名录.md
312,游资每日明细,hm_detail,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=312,股票数据/打板专题数据/0312_游资每日明细.md
313,期货历史分钟行情,ft_mins,期货数据,https://tushare.pro/document/2?doc_id=313,期货数据/0313_期货历史分钟行情.md
314,期货Tick行情数据,,期货数据,https://tushare.pro/document/2?doc_id=314,期货数据/0314_期货Tick行情数据.md
315,实时盘口TICK快照(爬虫版),realtime_quote,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=315,股票数据/行情数据/0315_实时盘口TICK快照(爬虫版).md
316,实时成交数据(爬虫版),realtime_tick,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=316,股票数据/行情数据/0316_实时成交数据(爬虫版).md
317,实时涨跌幅排名(爬虫版),realtime_list,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=317,股票数据/行情数据/0317_实时涨跌幅排名(爬虫版).md
320,同花顺热榜,ths_hot,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=320,股票数据/打板专题数据/0320_同花顺热榜.md
321,东方财富热榜,dc_hot,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=321,股票数据/打板专题数据/0321_东方财富热榜.md
322,柜台流通式债券报价,bc_otcqt,债券专题,https://tushare.pro/document/2?doc_id=322,债券专题/0322_柜台流通式债券报价.md
323,柜台流通式债券最优报价,bc_bestotcqt,债券专题,https://tushare.pro/document/2?doc_id=323,债券专题/0323_柜台流通式债券最优报价.md
326,融资融券标的（盘前更新）,margin_secs,股票数据 / 两融及转融通,https://tushare.pro/document/2?doc_id=326,股票数据/两融及转融通/0326_融资融券标的（盘前更新）.md
327,申万行业日线行情,sw_daily,指数专题,https://tushare.pro/document/2?doc_id=327,指数专题/0327_申万行业日线行情.md
328,股票技术面因子(专业版),stk_factor_pro,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=328,股票数据/特色数据/0328_股票技术面因子(专业版).md
329,股本情况（盘前）,stk_premarket,股票数据 / 基础数据,https://tushare.pro/document/2?doc_id=329,股票数据/基础数据/0329_股本情况（盘前）.md
331,转融资交易汇总,slb_len,股票数据 / 两融及转融通,https://tushare.pro/document/2?doc_id=331,股票数据/两融及转融通/0331_转融资交易汇总.md
332,转融券交易汇总,slb_sec,股票数据 / 两融及转融通,https://tushare.pro/document/2?doc_id=332,股票数据/两融及转融通/0332_转融券交易汇总.md
333,转融券交易明细,slb_sec_detail,股票数据 / 两融及转融通,https://tushare.pro/document/2?doc_id=333,股票数据/两融及转融通/0333_转融券交易明细.md
334,做市借券交易汇总,slb_len_mm,股票数据 / 两融及转融通,https://tushare.pro/document/2?doc_id=334,股票数据/两融及转融通/0334_做市借券交易汇总.md
335,申万行业成分构成(分级),index_member_all,指数专题,https://tushare.pro/document/2?doc_id=335,指数专题/0335_申万行业成分构成(分级).md
336,股票周/月线行情(每日更新),stk_weekly_monthly,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=336,股票数据/行情数据/0336_股票周_月线行情(每日更新).md
337,期货周/月线行情(每日更新),fut_weekly_monthly,期货数据,https://tushare.pro/document/2?doc_id=337,期货数据/0337_期货周_月线行情(每日更新).md
338,美股复权行情,us_daily_adj,美股数据,https://tushare.pro/document/2?doc_id=338,美股数据/0338_美股复权行情.md
339,港股复权行情,hk_daily_adj,港股数据,https://tushare.pro/document/2?doc_id=339,港股数据/0339_港股复权行情.md
340,期货实时分钟行情,rt_fut_min,期货数据,https://tushare.pro/document/2?doc_id=340,期货数据/0340_期货实时分钟行情.md
343,同花顺行业资金流向（THS）,moneyflow_ind_ths,股票数据 / 资金流向数据,https://tushare.pro/document/2?doc_id=343,股票数据/资金流向数据/0343_同花顺行业资金流向（THS）.md
344,东财概念及行业板块资金流向（DC）,moneyflow_ind_dc,股票数据 / 资金流向数据,https://tushare.pro/document/2?doc_id=344,股票数据/资金流向数据/0344_东财概念及行业板块资金流向（DC）.md
345,大盘资金流向（DC）,moneyflow_mkt_dc,股票数据 / 资金流向数据,https://tushare.pro/document/2?doc_id=345,股票数据/资金流向数据/0345_大盘资金流向（DC）.md
347,开盘啦榜单数据,kpl_list,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=347,股票数据/打板专题数据/0347_开盘啦榜单数据.md
348,个股资金流向（THS）,moneyflow_ths,股票数据 / 资金流向数据,https://tushare.pro/document/2?doc_id=348,股票数据/资金流向数据/0348_个股资金流向（THS）.md
349,个股资金流向（DC）,moneyflow_dc,股票数据 / 资金流向数据,https://tushare.pro/document/2?doc_id=349,股票数据/资金流向数据/0349_个股资金流向（DC）.md
351,开盘啦题材成分,kpl_concept_cons,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=351,股票数据/打板专题数据/0351_开盘啦题材成分.md
353,股票开盘集合竞价数据,stk_auction_o,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=353,股票数据/特色数据/0353_股票开盘集合竞价数据.md
354,股票收盘集合竞价数据,stk_auction_c,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=354,股票数据/特色数据/0354_股票收盘集合竞价数据.md
355,涨跌停榜单（同花顺）,limit_list_ths,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=355,股票数据/打板专题数据/0355_涨跌停榜单（同花顺）.md
356,连板天梯,limit_step,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=356,股票数据/打板专题数据/0356_连板天梯.md
357,最强板块统计,limit_cpt_list,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=357,股票数据/打板专题数据/0357_最强板块统计.md
358,指数技术因子(专业版),idx_factor_pro,指数专题,https://tushare.pro/document/2?doc_id=358,指数专题/0358_指数技术因子(专业版).md
359,场内基金技术因子(专业版),fund_factor_pro,公募基金,https://tushare.pro/document/2?doc_id=359,公募基金/0359_场内基金技术因子(专业版).md
362,东方财富概念板块,dc_index,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=362,股票数据/打板专题数据/0362_东方财富概念板块.md
363,东方财富板块成分,dc_member,股票数据 / 打板专题数据,https://tushare.pro/document/2?doc_id=363,股票数据/打板专题数据/0363_东方财富板块成分.md
364,神奇九转指标,stk_nineturn,股票数据 / 特色数据,https://tushare.pro/document/2?doc_id=364,股票数据/特色数据/0364_神奇九转指标.md
365,股票周/月线行情(复权--每日更新),stk_week_month_adj,股票数据 / 行情数据,https://tushare.pro/document/2?doc_id=365,股票数据/行情数据/0365_股票周_月线行情(复权--每日更新).md
366,上证E互动,irm_qa_sh,大模型语料专题数据,https://tushare.pro/document/2?doc_id=366,大模型语料专题数据/0366_上证E互动.md
